* Measurement data measured by REW V5.20.8
* Source: Generic_1 [plughw:1,0], Capture (Capture), R, volume: 0.508
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Jul, 2022 10:34:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 10
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), dBFS(dBFS), Phase(degrees)
87.158209, -37.023, -105.8227
87.524420, -36.992, -105.9967
87.890631, -36.960, -106.1745
88.256841, -36.930, -106.3644
88.623052, -36.903, -106.5696
88.989263, -36.879, -106.7866
89.355474, -36.859, -107.0075
89.721685, -36.840, -107.2252
90.087896, -36.820, -107.4375
90.454107, -36.797, -107.6472
90.820318, -36.770, -107.8582
91.186529, -36.740, -108.0709
91.552740, -36.709, -108.2799
91.918951, -36.679, -108.4774
92.285162, -36.650, -108.6580
92.651373, -36.622, -108.8243
93.017584, -36.594, -108.9881
93.383795, -36.565, -109.1657
93.750006, -36.535, -109.3694
94.116217, -36.504, -109.6000
94.482428, -36.474, -109.8442
94.848639, -36.445, -110.0808
95.214850, -36.416, -110.2916
95.581061, -36.388, -110.4713
95.947272, -36.363, -110.6292
96.313483, -36.342, -110.7808
96.679694, -36.328, -110.9384
97.045905, -36.319, -111.1067
97.412116, -36.310, -111.2909
97.778327, -36.291, -111.5083
98.144538, -36.258, -111.7911
98.510749, -36.209, -112.1718
98.876960, -36.153, -112.6549
99.243170, -36.102, -113.1959
99.609381, -36.067, -113.7046
99.975592, -36.052, -114.0786
100.341803, -36.052, -114.2501
100.708014, -36.058, -114.2200
101.074225, -36.059, -114.0589
101.440436, -36.053, -113.8717
101.806647, -36.040, -113.7489
102.172858, -36.025, -113.7334
102.539069, -36.012, -113.8176
102.905280, -35.999, -113.9659
103.271491, -35.984, -114.1422
103.637702, -35.965, -114.3248
104.003913, -35.941, -114.5055
104.370124, -35.916, -114.6796
104.736335, -35.892, -114.8411
105.102546, -35.870, -114.9849
105.468757, -35.850, -115.1126
105.834968, -35.831, -115.2342
106.201179, -35.812, -115.3632
106.567390, -35.793, -115.5078
106.933601, -35.774, -115.6674
107.299812, -35.757, -115.8337
107.666023, -35.741, -115.9982
108.032234, -35.724, -116.1572
108.398445, -35.707, -116.3132
108.764656, -35.689, -116.4715
109.130867, -35.671, -116.6363
109.497078, -35.654, -116.8081
109.863289, -35.636, -116.9840
110.229500, -35.619, -117.1597
110.595710, -35.602, -117.3308
110.961921, -35.585, -117.4950
111.328132, -35.568, -117.6523
111.694343, -35.551, -117.8054
112.060554, -35.534, -117.9579
112.426765, -35.518, -118.1128
112.792976, -35.504, -118.2698
113.159187, -35.492, -118.4252
113.525398, -35.482, -118.5737
113.891609, -35.473, -118.7112
114.257820, -35.463, -118.8378
114.624031, -35.452, -118.9582
114.990242, -35.438, -119.0799
115.356453, -35.423, -119.2104
115.722664, -35.405, -119.3545
116.088875, -35.387, -119.5133
116.455086, -35.369, -119.6831
116.821297, -35.351, -119.8559
117.187508, -35.335, -120.0218
117.553719, -35.320, -120.1710
117.919930, -35.306, -120.2985
118.286141, -35.291, -120.4056
118.652352, -35.276, -120.5002
119.018563, -35.260, -120.5933
119.384774, -35.244, -120.6945
119.750985, -35.228, -120.8090
120.117196, -35.214, -120.9364
120.483407, -35.202, -121.0733
120.849618, -35.191, -121.2154
121.215829, -35.181, -121.3592
121.582040, -35.172, -121.5025
121.948250, -35.162, -121.6436
122.314461, -35.151, -121.7817
122.680672, -35.140, -121.9166
123.046883, -35.126, -122.0499
123.413094, -35.112, -122.1832
123.779305, -35.097, -122.3180
124.145516, -35.081, -122.4538
124.511727, -35.067, -122.5888
124.877938, -35.054, -122.7203
125.244149, -35.041, -122.8469
125.610360, -35.029, -122.9688
125.976571, -35.017, -123.0874
126.342782, -35.006, -123.2046
126.708993, -34.994, -123.3212
127.075204, -34.982, -123.4376
127.441415, -34.969, -123.5538
127.807626, -34.956, -123.6704
128.173837, -34.944, -123.7884
128.540048, -34.931, -123.9088
128.906259, -34.919, -124.0317
129.272470, -34.907, -124.1559
129.638681, -34.896, -124.2793
130.004892, -34.886, -124.4002
130.371103, -34.875, -124.5183
130.737314, -34.865, -124.6354
131.103525, -34.855, -124.7544
131.469736, -34.845, -124.8778
131.835947, -34.837, -125.0067
132.202158, -34.830, -125.1398
132.568369, -34.826, -125.2747
132.934579, -34.822, -125.4093
133.300790, -34.819, -125.5424
133.667001, -34.814, -125.6737
134.033212, -34.807, -125.8022
134.399423, -34.799, -125.9259
134.765634, -34.788, -126.0415
135.131845, -34.775, -126.1461
135.498056, -34.761, -126.2387
135.864267, -34.748, -126.3200
136.230478, -34.735, -126.3923
136.596689, -34.724, -126.4585
136.962900, -34.716, -126.5219
137.329111, -34.709, -126.5872
137.695322, -34.703, -126.6611
138.061533, -34.696, -126.7514
138.427744, -34.688, -126.8649
138.793955, -34.679, -127.0036
139.160166, -34.669, -127.1633
139.526377, -34.658, -127.3340
139.892588, -34.649, -127.5035
140.258799, -34.639, -127.6607
140.625010, -34.631, -127.7994
140.991221, -34.622, -127.9190
141.357432, -34.614, -128.0236
141.723643, -34.606, -128.1198
142.089854, -34.598, -128.2140
142.456065, -34.591, -128.3108
142.822276, -34.584, -128.4120
143.188487, -34.577, -128.5169
143.554698, -34.571, -128.6230
143.920909, -34.564, -128.7286
144.287119, -34.555, -128.8329
144.653330, -34.546, -128.9368
145.019541, -34.536, -129.0414
145.385752, -34.526, -129.1469
145.751963, -34.515, -129.2514
146.118174, -34.506, -129.3522
146.484385, -34.496, -129.4466
146.850596, -34.488, -129.5342
147.216807, -34.479, -129.6170
147.583018, -34.472, -129.6985
147.949229, -34.465, -129.7827
148.315440, -34.459, -129.8723
148.681651, -34.454, -129.9685
149.047862, -34.450, -130.0714
149.414073, -34.446, -130.1801
149.780284, -34.442, -130.2931
150.146495, -34.437, -130.4083
150.512706, -34.431, -130.5235
150.878917, -34.425, -130.6363
151.245128, -34.417, -130.7453
151.611339, -34.408, -130.8499
151.977550, -34.399, -130.9509
152.343761, -34.390, -131.0486
152.709972, -34.381, -131.1434
153.076183, -34.373, -131.2340
153.442394, -34.365, -131.3189
153.808605, -34.358, -131.3960
154.174816, -34.351, -131.4641
154.541027, -34.344, -131.5231
154.907238, -34.337, -131.5744
155.273448, -34.330, -131.6213
155.639659, -34.323, -131.6686
156.005870, -34.317, -131.7225
156.372081, -34.310, -131.7891
156.738292, -34.304, -131.8726
157.104503, -34.298, -131.9743
157.470714, -34.292, -132.0913
157.836925, -34.287, -132.2175
158.203136, -34.282, -132.3452
158.569347, -34.277, -132.4678
158.935558, -34.273, -132.5809
159.301769, -34.268, -132.6835
159.667980, -34.263, -132.7768
160.034191, -34.258, -132.8629
160.400402, -34.254, -132.9440
160.766613, -34.249, -133.0214
161.132824, -34.244, -133.0957
161.499035, -34.239, -133.1668
161.865246, -34.233, -133.2344
162.231457, -34.226, -133.2988
162.597668, -34.218, -133.3607
162.963879, -34.210, -133.4225
163.330090, -34.203, -133.4872
163.696301, -34.196, -133.5581
164.062512, -34.191, -133.6375
164.428723, -34.187, -133.7250
164.794934, -34.186, -133.8178
165.161145, -34.186, -133.9110
165.527356, -34.187, -133.9995
165.893567, -34.187, -134.0799
166.259778, -34.187, -134.1514
166.625988, -34.185, -134.2154
166.992199, -34.181, -134.2747
167.358410, -34.177, -134.3322
167.724621, -34.172, -134.3897
168.090832, -34.167, -134.4484
168.457043, -34.162, -134.5092
168.823254, -34.157, -134.5732
169.189465, -34.152, -134.6420
169.555676, -34.146, -134.7171
169.921887, -34.140, -134.7993
170.288098, -34.134, -134.8879
170.654309, -34.127, -134.9804
171.020520, -34.121, -135.0735
171.386731, -34.115, -135.1637
171.752942, -34.110, -135.2485
172.119153, -34.105, -135.3270
172.485364, -34.099, -135.4002
172.851575, -34.095, -135.4699
173.217786, -34.090, -135.5382
173.583997, -34.086, -135.6068
173.950208, -34.082, -135.6764
174.316419, -34.078, -135.7472
174.682630, -34.074, -135.8188
175.048841, -34.071, -135.8909
175.415052, -34.067, -135.9629
175.781263, -34.064, -136.0344
176.147474, -34.060, -136.1048
176.513685, -34.056, -136.1734
176.879896, -34.053, -136.2399
177.246107, -34.050, -136.3038
177.612318, -34.046, -136.3648
177.978528, -34.043, -136.4227
178.344739, -34.039, -136.4778
178.710950, -34.035, -136.5306
179.077161, -34.030, -136.5826
179.443372, -34.025, -136.6355
179.809583, -34.020, -136.6913
180.175794, -34.015, -136.7514
180.542005, -34.010, -136.8163
180.908216, -34.005, -136.8856
181.274427, -34.000, -136.9584
181.640638, -33.996, -137.0335
182.006849, -33.992, -137.1098
182.373060, -33.988, -137.1862
182.739271, -33.984, -137.2612
183.105482, -33.981, -137.3333
183.471693, -33.978, -137.4009
183.837904, -33.975, -137.4627
184.204115, -33.973, -137.5187
184.570326, -33.971, -137.5699
184.936537, -33.969, -137.6185
185.302748, -33.967, -137.6670
185.668959, -33.964, -137.7180
186.035170, -33.961, -137.7731
186.401381, -33.957, -137.8331
186.767592, -33.954, -137.8976
